Name,Tot. Statements,Deployed,Tot. Branches,Avg. Test Case Lenght,Branches Covered,Generations,Blockchain Time,Offchain Time,Total time
MultiSigWallet (2),59,N,14575.587605,3.1948051948051948,77,100,10877.388811,3698.198794,14575.587605
MultiSigWallet (2),59,N,14586.287902,2.958904109589041,73,100,11042.140749,3544.147153,14586.287902
Randomness,22,N,7122.570216,2.4375,16,100,5867.723255,1254.8469610000002,7122.570216
TestDateTime,160,Y,34207.022776,2.2081632653061223,245,100,21196.510151,13010.512625,34207.022776
Gift_1_ETH,18,Y,6287.533141,2.0,14,100,5242.059604,1045.4735369999999,6287.533141
LotteryFor10,45,Y,12758.808142,4.534883720930233,43,100,9609.897525,3148.9106169999995,12758.808142
PermissionGroups,58,Y,9830.855645,4.976744186046512,86,87,7365.381019,2465.4746259999993,9830.855645
GuessTheNumberChallenge,6,N,24.952216,7.375,8,0,18.188172,6.764043999999998,24.952216
Greeter,15,N,169.105028,8.45679012345679,81,0,113.472927,55.632101000000006,169.105028
EtherBank,13,N,6505.095491,2.2857142857142856,14,100,5489.763772,1015.3317189999998,6505.095491
VulnerableTwoStep,11,N,86.454059,5.4,10,0,71.672682,14.781377000000006,86.454059
BadAuction,7,N,77.195717,2.4285714285714284,7,0,64.462397,12.733320000000006,77.195717
AddressBook,19,N,350.338521,10.74074074074074,54,2,253.281495,97.05702600000001,350.338521
AddressBook,19,N,359.796197,8.907407407407407,54,2,259.975967,99.82022999999998,359.796197
Greeter3,15,N,155.003734,8.150684931506849,73,0,109.714068,45.28966600000001,155.003734
IdentityManager,49,Y,8831.373045,2.464788732394366,71,100,6573.544758,2257.8282870000003,8831.373045
EasyPayAndWithDraw,7,N,566.488801,7.5,8,4,479.247518,87.24128299999995,566.488801
EtherBank,13,N,5182.834405,2.2857142857142856,14,100,4379.277005,803.5573999999997,5182.834405
GuessTheNumberChallenge,6,N,26.69356,25.0,8,0,19.434201,7.259359,26.69356
Gift_1_ETH,18,Y,5099.254568,2.0,14,100,4234.327297,864.9272710000005,5099.254568
LotteryFor10,45,Y,14924.139986,3.7906976744186047,43,100,10808.008646,4116.13134,14924.139986
MultiSigWallet (2),59,N,24994.024918,3.4285714285714284,77,100,18497.099362,6496.925555999998,24994.024918
TestDateTime,160,Y,14316.531648,2.3541666666666665,240,100,9033.547281,5282.984367000001,14316.531648
LotteryFor10,45,Y,15682.063207,5.255813953488372,43,100,11303.31258,4378.750626999999,15682.063207
Gift_1_ETH,18,Y,8083.68808,2.0714285714285716,14,100,6670.063569,1413.624511,8083.68808
GuessTheNumberChallenge,6,N,106.525458,7.75,8,1,88.989007,17.536451,106.525458
Greeter,15,N,814.781819,7.617283950617284,81,4,575.714957,239.06686200000001,814.781819
EtherBank,13,N,7066.120728,2.2857142857142856,14,100,5924.359933,1141.7607950000001,7066.120728
EasyPayAndWithDraw,7,N,744.388705,3.75,8,6,633.747578,110.64112699999998,744.388705
IdentityManager,49,Y,13485.121092,2.76056338028169,71,100,9876.557256,3608.5638359999994,13485.121092
DosAuction,7,Y,67.617311,2.5714285714285716,7,1,57.424222,10.193089,67.617311
Greeter3,15,N,161.282454,8.917808219178083,73,0,110.84213,50.440324000000004,161.282454
AddressBook,19,N,337.317904,9.296296296296296,54,2,241.350428,95.967476,337.317904
IdentityManager,49,Y,20951.648301,4.070588235294117,85,100,15139.360815,5812.287486000001,20951.648301
Greeter,15,N,158.563102,5.185185185185185,81,0,106.422521,52.14058099999998,158.563102
LotteryMultipleWinners,31,N,3196.210489,10.266666666666667,45,17,2439.445249,756.7652400000002,3196.210489
EtherBank,13,N,6578.206898,2.857142857142857,14,100,5544.184286,1034.0226120000007,6578.206898
Gift_1_ETH,18,Y,5494.145672,2.0,14,100,4564.131943,930.0137289999993,5494.145672
GuessTheNumberChallenge,6,N,29.873928,16.875,8,0,23.452078,6.421849999999999,29.873928
MultiSigWallet (2),59,N,24216.018454,3.5064935064935066,77,100,17729.90952,6486.108934,24216.018454
FundRaising,23,N,75.729206,6.333333333333333,21,0,58.428317,17.300889000000005,75.729206
TestDateTime,160,Y,13000.244964,2.2459016393442623,244,100,8177.657039,4822.587925,13000.244964
TestDateTime,160,Y,23471.451682,2.8401639344262297,244,100,14342.140424,9129.311258,23471.451682
FundRaising,23,N,83.711128,8.19047619047619,21,0,65.059651,18.651477,83.711128
MultiSigWallet (2),59,N,10876.73964,2.6575342465753424,73,100,8176.137195,2700.6024449999995,10876.73964
LotteryFor10,45,Y,12758.808142,4.534883720930233,43,100,9609.897525,3148.9106169999995,12758.808142
Gift_1_ETH,18,Y,6518.851544,2.0714285714285716,14,100,5346.292104,1172.55944,6518.851544
EtherBank,13,N,6920.842755,2.4285714285714284,14,100,5811.232503,1109.6102519999995,6920.842755
LotteryMultipleWinners,31,N,16267.847005,6.295454545454546,44,100,12467.858347,3799.988658,16267.847005
Greeter,15,N,176.394892,8.320987654320987,81,0,122.183649,54.211242999999996,176.394892
GuessTheNumberChallenge,6,N,31.015898,10.0,8,0,23.131966,7.8839320000000015,31.015898
IdentityManager,49,Y,9851.155301,2.6056338028169015,71,100,7415.629651,2435.5256500000005,9851.155301
AddressBook,19,N,407.831462,9.37037037037037,54,2,293.81207,114.01939199999998,407.831462
AddressBook,19,N,648.464723,9.666666666666666,54,4,472.208781,176.25594200000006,648.464723
IdentityManager,49,Y,6049.773322,3.140625,64,100,4623.663288,1426.1100340000003,6049.773322
EIP20StandardToken,24,Y,122.040771,4.6923076923076925,13,0,91.467086,30.57368500000001,122.040771
AddressBook,19,N,339.740976,9.907407407407407,54,2,246.940946,92.80002999999999,339.740976
Greeter,15,N,1584.671128,8.567901234567902,81,7,1119.108658,465.56246999999985,1584.671128
EtherBank,13,N,7864.189589,2.2857142857142856,14,100,6591.825503,1272.3640859999996,7864.189589
LotteryFor10,45,Y,16651.697007,3.86046511627907,43,100,11779.196287,4872.500719999998,16651.697007
Gift_1_ETH,18,Y,6078.919177,2.0,14,100,5043.899036,1035.020141,6078.919177
GuessTheNumberChallenge,6,N,665.3267,9.5,8,8,579.549809,85.77689099999998,665.3267
MultiSigWallet (2),59,N,25621.773855,6.573170731707317,82,100,18944.035854,6677.738000999998,25621.773855
TestDateTime,160,Y,37206.348865,2.926530612244898,245,100,22681.846739,14524.502126,37206.348865
SecureAuction,11,Y,85.420608,4.0,6,1,69.652426,15.768181999999996,85.420608
BasicToken,11,N,99.258191,2.375,8,1,74.028367,25.229823999999994,99.258191
BasicToken,11,N,99.700767,3.375,8,1,75.993241,23.707526,99.700767
LotteryFor10,45,Y,15682.063207,5.255813953488372,43,100,11303.31258,4378.750626999999,15682.063207
SecureAuction,11,Y,85.779787,2.8333333333333335,6,1,69.795208,15.984578999999997,85.779787
TestDateTime,160,Y,24250.432461,2.3346938775510204,245,100,14965.137252,9285.295209,24250.432461
MultiSigWallet (2),59,N,12843.149244,2.643835616438356,73,100,9830.110522,3013.0387219999993,12843.149244
GuessTheNumberChallenge,6,N,25.15029,10.75,8,0,18.063144,7.087145999999997,25.15029
LotteryFor10,45,Y,14050.970957,4.372093023255814,43,100,10117.537109,3933.4338479999988,14050.970957
EtherBank,13,N,7242.14572,2.2857142857142856,14,100,6080.751493,1161.3942270000007,7242.14572
Greeter,15,N,180.679951,9.54320987654321,81,0,123.15442,57.52553099999999,180.679951
GuardCheck,10,N,243.692063,3.5714285714285716,14,2,202.631829,41.06023399999998,243.692063
EIP20StandardToken,24,Y,127.257982,6.153846153846154,13,0,96.084382,31.173599999999993,127.257982
IdentityManager,49,Y,14065.338026,4.658536585365853,82,100,10021.336464,4044.0015619999995,14065.338026
IdentityManager,49,Y,17130.656954,2.643835616438356,73,100,12360.677356,4769.979597999998,17130.656954
AddressBook,19,N,827.596008,8.62962962962963,54,5,602.149004,225.447004,827.596008
FixedSupplyToken,39,Y,432.908312,4.818181818181818,22,3,337.222348,95.68596400000001,432.908312
MultiSigWallet (1),56,N,27883.784637,6.6,69,100,20195.146427,7688.638210000001,27883.784637
MyAdvancedToken,53,Y,131.03098,3.0,3,0,92.835822,38.195158000000006,131.03098
theRun,62,Y,10935.620685,2.0,34,100,8278.078805,2657.5418800000007,10935.620685
Rubixi,56,Y,6462.371975,3.621212121212121,66,100,4552.163397,1910.2085779999998,6462.371975
EzToken,31,Y,147.022959,3.0,11,1,105.004673,42.01828599999999,147.022959
Randomness,22,N,8389.837342,2.4375,16,100,6923.159263,1466.6780790000012,8389.837342
BadAuction,7,N,89.804613,3.0,7,0,75.493561,14.311052000000004,89.804613
Reentrance,9,Y,5414.300085,2.3846153846153846,13,100,4571.273161,843.0269239999998,5414.300085
Greeter2,13,N,186.495239,6.816666666666666,60,0,125.580656,60.91458299999999,186.495239
DosAuction,7,Y,76.292726,4.285714285714286,7,1,64.163171,12.129554999999996,76.292726
Prover,27,Y,167.731293,4.411764705882353,17,0,120.083723,47.64756999999999,167.731293
Prover,27,Y,218.470492,4.0588235294117645,17,0,153.81253,64.657962,218.470492
DosAuction,7,Y,73.560563,3.857142857142857,7,1,62.209571,11.350992000000005,73.560563
Greeter2,13,N,184.56046,5.55,60,0,126.264301,58.296159,184.56046
BadAuction,7,N,87.430934,3.7142857142857144,7,0,73.139228,14.29170599999999,87.430934
BasicToken,11,N,110.388997,6.25,8,1,83.498859,26.890138000000007,110.388997
EzToken,31,Y,168.905213,4.2727272727272725,11,1,122.247353,46.65786,168.905213
MyAdvancedToken,53,Y,145.146932,4.0,3,0,103.586016,41.56091599999999,145.146932
theRun,62,Y,10611.285147,2.176470588235294,34,100,7984.596803,2626.688344,10611.285147
MultiSigWallet (1),56,N,10065.555887,3.0,60,100,7829.502797,2236.0530900000003,10065.555887
FixedSupplyToken,39,Y,913.875001,4.7727272727272725,22,8,710.590673,203.28432799999996,913.875001
FixedSupplyToken,39,Y,219.400901,5.2727272727272725,22,1,168.515817,50.885084000000006,219.400901
MultiSigWallet (1),56,N,13628.304386,2.847457627118644,58,100,10398.555864,3229.748522,13628.304386
theRun,62,Y,10874.224965,2.176470588235294,34,100,8260.57706,2613.647905,10874.224965
EzToken,31,Y,174.593446,5.636363636363637,11,1,124.661287,49.932159,174.593446
Rubixi,56,Y,4198.256502,2.6666666666666665,66,100,2991.191092,1207.0654100000002,4198.256502
BadAuction,7,N,78.133692,2.857142857142857,7,0,68.45212,9.681572000000003,78.133692
Randomness,22,N,9691.149093,2.4375,16,100,7941.256026,1749.893067,9691.149093
Reentrance,9,Y,6049.857756,2.3846153846153846,13,100,5095.351378,954.506378,6049.857756
OpenAddressLottery,30,Y,24816.809741,2.125,32,100,19503.404046,5313.405695000001,24816.809741
DosAuction,7,Y,77.03799,3.857142857142857,7,1,65.272001,11.76598899999999,77.03799
Prover,27,Y,290.509556,3.3529411764705883,17,0,211.920416,78.58913999999999,290.509556
Prover,27,Y,209.411537,5.294117647058823,17,0,150.826826,58.584711,209.411537
DosAuction,7,Y,66.342794,2.5714285714285716,7,1,56.141767,10.201026999999996,66.342794
OpenAddressLottery,30,Y,24782.64506,2.9375,32,100,19632.008716,5150.636343999999,24782.64506
Reentrance,9,Y,6768.588661,2.3846153846153846,13,100,5626.643069,1141.945592,6768.588661
Randomness,22,N,9100.440723,2.4375,16,100,7460.748107,1639.6926159999994,9100.440723
EzToken,31,Y,167.966754,4.545454545454546,11,1,120.2885,47.67825400000001,167.966754
Rubixi,56,Y,4463.518282,2.9402985074626864,67,100,3243.624471,1219.893811,4463.518282
theRun,62,Y,9299.164853,2.0,34,100,6977.278279,2321.886574,9299.164853
FixedSupplyToken,39,Y,111.994532,7.318181818181818,22,0,84.06507,27.929462,111.994532
FixedSupplyToken,39,Y,902.714957,5.2272727272727275,22,8,712.189188,190.52576900000008,902.714957
MultiSigWallet (1),56,N,12600.373244,3.0327868852459017,60,100,9649.910784,2950.4624600000006,12600.373244
GuardCheck,10,N,145.963948,3.4285714285714284,14,1,121.915195,24.04875299999999,145.963948
theRun,62,Y,12496.973566,2.176470588235294,34,100,9445.891314,3051.082252,12496.973566
Prover,27,Y,225.252794,3.6470588235294117,17,0,157.661495,67.59129899999999,225.252794
Rubixi,56,Y,5180.402514,3.1641791044776117,67,100,3661.66396,1518.7385540000005,5180.402514
EzToken,31,Y,160.072386,3.909090909090909,11,1,112.193706,47.87867999999999,160.072386
BadAuction,7,N,90.64126,2.5714285714285716,7,0,76.468853,14.172407000000007,90.64126
Randomness,22,N,10521.460681,2.4375,16,100,8653.555858,1867.9048230000008,10521.460681
DosAuction,7,Y,69.849927,3.2857142857142856,7,1,59.80725,10.04267699999999,69.849927
Reentrance,9,Y,5992.062054,2.0,13,100,5042.529753,949.5323010000002,5992.062054
Prover,27,Y,209.654251,2.9411764705882355,17,0,151.058839,58.59541199999998,209.654251
Reentrance,9,Y,4232.479563,2.0,13,100,3608.699708,623.7798549999998,4232.479563
DosAuction,7,Y,71.979847,2.5714285714285716,7,1,61.44894,10.530907000000006,71.979847
Randomness,22,N,9015.963425,2.4375,16,100,7431.598253,1584.3651719999998,9015.963425
BadAuction,7,N,92.384993,3.2857142857142856,7,0,77.711863,14.67313,92.384993
Rubixi,56,Y,5720.59237,5.768115942028985,69,100,4082.993839,1637.598531,5720.59237
EzToken,31,Y,168.196138,4.7272727272727275,11,1,122.371776,45.824361999999994,168.196138
GuardCheck,10,N,151.802026,6.785714285714286,14,1,125.690879,26.111147000000017,151.802026
FundRaising,23,N,86.289184,8.19047619047619,21,0,65.095517,21.193667000000005,86.289184
MultiSigWallet (1),56,N,10894.63184,5.084745762711864,58,100,8408.627918,2486.003922,10894.63184
FixedSupplyToken,39,Y,515.405714,5.090909090909091,22,4,402.819591,112.58612299999999,515.405714
Casino,38,N,8226.271801,5.72,25,100,6675.211621,1551.0601800000004,8226.271801
MultiSigWallet (1),56,N,14225.095604,2.9836065573770494,60,100,10827.194296,3397.9013080000004,14225.095604
theRun,62,Y,9212.349671,2.0,34,100,6854.057804,2358.291867,9212.349671
Greeter3,15,N,138.217861,8.479452054794521,73,0,97.426002,40.791859,138.217861
EzToken,31,Y,159.610491,4.7272727272727275,11,1,116.302293,43.30819799999999,159.610491
Rubixi,56,Y,6165.074195,4.208955223880597,67,100,4215.77347,1949.300725,6165.074195
Randomness,22,N,9932.257703,2.4375,16,100,8162.859971,1769.3977319999995,9932.257703
BadAuction,7,N,88.666782,2.4285714285714284,7,0,74.319674,14.347107999999992,88.666782
DosAuction,7,Y,63.89147,3.2857142857142856,7,1,54.3067,9.584769999999999,63.89147
Reentrance,9,Y,5296.585114,2.0,13,100,4437.794128,858.7909860000009,5296.585114
Prover,27,Y,219.954169,4.411764705882353,17,0,155.673309,64.28086000000002,219.954169
Prover,27,Y,215.446195,3.176470588235294,17,0,152.162384,63.283810999999986,215.446195
EzToken,31,Y,155.297709,3.4545454545454546,11,1,112.753992,42.543717,155.297709
Reentrance,9,Y,5629.916947,2.0,13,100,4751.676267,878.2406799999999,5629.916947
BadAuction,7,N,81.714148,3.2857142857142856,7,0,68.010642,13.70350599999999,81.714148
Randomness,22,N,7782.702358,2.625,16,100,6436.567512,1346.134846,7782.702358
Rubixi,56,Y,4942.038691,4.552238805970149,67,100,3369.954041,1572.0846499999998,4942.038691
theRun,62,Y,11153.380024,2.176470588235294,34,100,8433.809063,2719.5709609999994,11153.380024
MultiSigWallet (1),56,N,15691.507538,2.723076923076923,64,100,11718.961254,3972.546284,15691.507538
Casino,38,N,8088.448052,6.16,25,100,6651.132344,1437.315708,8088.448052
MultiSigWallet (1),56,N,14401.715327,3.4262295081967213,60,100,11163.439344,3238.2759829999995,14401.715327
FixedSupplyToken,39,Y,7769.675745,2.142857142857143,21,100,6172.475407,1597.2003379999996,7769.675745
